Time,T1,T5,T9,T10,Q1,Q2,Dt1,Dt2,C1,C2,TE
[min],°C,°C,°C,°C,l/h,l/h,°C,°C,kcal,kcal,°C
0.817,49.805,42.725,22.168,33.154,545.361,160.107,7.08,10.986,3861.201,1758.993,40.553
0.833,49.902,42.285,21.631,33.545,545.654,160.4,7.617,11.914,4156.351,1911.02,40.3
0.85,49.902,42.432,21.875,33.203,548.438,159.814,7.471,11.328,4097.214,1810.398,40.349
0.867,49.951,41.943,21.875,33.203,548.291,160.254,8.008,11.328,4390.612,1815.376,39.967
0.883,50,42.334,21.875,33.057,547.998,160.107,7.666,11.182,4200.962,1790.264,40.236
0.9,50,41.846,21.729,33.301,548.438,159.521,8.154,11.572,4472.122,1846.025,39.92
0.917,50,42.432,21.729,33.057,549.756,159.814,7.568,11.328,4160.75,1810.398,40.32
0.933,50,42.432,21.826,33.057,547.559,159.375,7.568,11.23,4144.12,1789.856,40.318
0.95,49.316,42.48,20.85,33.203,547.705,159.814,6.836,12.354,3744.078,1974.27,40.385
0.967,50,42.383,21.68,33.252,545.947,159.521,7.617,11.572,4158.583,1846.025,40.318
0.983,50,42.773,22.119,33.887,547.412,159.375,7.227,11.768,3955.908,1875.458,40.77
1,50,42.578,20.996,33.691,545.508,160.107,7.422,12.695,4048.691,2032.614,40.562
1.017,50.537,42.529,21.777,33.545,547.119,159.961,8.008,11.768,4381.227,1882.353,40.497
1.033,50.439,42.676,21.729,33.35,547.705,159.375,7.764,11.621,4252.203,1852.112,40.574
1.05,50.293,42.725,21.777,33.447,545.361,160.107,7.568,11.67,4127.491,1868.441,40.619
1.067,50,42.871,21.729,33.35,547.998,159.521,7.129,11.621,3906.627,1853.814,40.724
1.083,50,42.725,21.68,33.203,548.145,158.936,7.275,11.523,3987.966,1831.484,40.584
1.1,49.854,43.555,20.898,33.447,548.73,159.229,6.299,12.549,3456.359,1998.131,41.281
1.117,50.195,42.09,21.777,33.447,545.947,159.375,8.105,11.67,4425.159,1859.894,40.137
1.133,50,42.773,21.191,33.252,545.508,159.375,7.227,12.061,3942.146,1922.15,40.621
1.15,50.146,42.383,22.412,33.252,546.387,159.375,7.764,10.84,4241.967,1727.6,40.321
1.167,50,42.041,22.412,33.203,549.023,159.375,7.959,10.791,4369.669,1719.818,40.053
1.183,50.146,42.09,21.826,33.398,548.877,159.375,8.057,11.572,4422.104,1844.33,40.134
1.2,50,43.115,21.826,32.471,549.756,159.375,6.885,10.645,3784.94,1696.472,40.723
1.217,50.342,42.822,21.875,33.594,547.412,158.35,7.52,11.719,4116.282,1855.659,40.752
1.233,50.83,42.92,21.436,33.594,551.807,159.375,7.91,12.158,4364.877,1937.714,40.83
1.25,50.342,42.969,22.021,33.789,547.266,159.521,7.373,11.768,4035.015,1877.182,40.897
1.267,50.342,43.115,21.436,33.74,547.705,159.375,7.227,12.305,3958.025,1961.06,41.002
